Name,EloRating,match_number
Olivier Patience,1602,99
Jack Sock,1602,12
Sebastian Decoud,1602,125
Marko Tkalec,1601,59
Carlos Oliveira,1601,67
Tony Holzinger,1601,25
Joao Sousa,1601,105
Francesco Piccari,1600,126
Adam Vejmelka,1600,114
Daniel Smethurst,1600,75
Vishnu Vardhan,1600,81
Alex Bogomolov Jr,1600,91
Adrian Cruciat,1600,80
Matthias Bachinger,1599,121
Bernard Tomic,1599,44
Bryan Koniecko,1598,23
Todd Reid,1598,16
Bogdan Leonte,1598,117
Boy Westerhof,1597,98
Alessio Di Mauro,1597,81
Ignacio Coll Riudavets,1597,154
Marin Bradaric,1597,85
Bjorn Rehnquist,1596,81
Kevin Deden,1596,94
Rafael Camilo,1596,85
Clinton Thomson,1596,56
Sinisa Markovic,1595,24
Radim Zitko,1595,40
Tomas Zib,1595,41
Min Hyoek Cho,1595,34
Dusan Lajovic,1594,64
Marcin Gawron,1594,103
David Novak,1594,72
Denis Matsukevitch,1594,92
Stefano Ianni,1594,77
Vincent Spadea,1594,116
Nicholas Monroe,1594,110
Adam Feeney,1593,97
Kittipong Wachiramanowong,1592,64
David Canudas Fernandez,1592,101
Gastao Elias,1590,52
Marco Trungelliti,1590,89
Tomas Cakl,1590,29
Michael Venus,1590,37
Simon Stadler,1589,117
Jae Sung An,1589,85
Juho Paukku,1588,73
Sebastian Rieschick,1588,91
Stefan Seifert,1588,54
Antonio Comporto,1587,79
Raphael Durek,1587,46
Damian Patriarca,1587,36
Pablo Figueroa,1586,11
Melle Van Gemerden,1586,16
Daniel Lustig,1586,67
Jean Andersen,1585,6
Martin Sayer,1585,4
Rohan Gajjar,1584,87
Georgi Rumenov Payakov,1584,87
Ricardo Chile Fonte,1583,10
Pablo Carreno Busta,1583,48
Jonathan Eysseric,1583,93
Carlos Poch Gradin,1582,59
Amir Weintraub,1582,83
Rameez Junaid,1581,64
Jaan Frederik Brunken,1581,60
Martin Slanar,1581,70
Philippe De Bonnevie,1581,120
Marco Crugnola,1581,111
Marek Semjan,1580,108
Rupesh Roy,1580,52
Razvan Sabau,1580,102
Jerome Haehnel,1579,26
James Mcgee,1579,78
Sadik Kadir,1579,79
Daniel Vallverdu,1578,8
Martin Vacek,1578,31
Grzegorz Panfil,1578,97
Todd Paul,1578,94
Cesar Ferrer Victoria,1577,84
Holger Fischer,1577,61
Travis Rettenmaier,1577,22
Pierrick Ysern,1576,70
Bradley Klahn,1576,16
Tigran Martirosyan,1576,99
Izak Van Der Merwe,1576,92
Eric Nunez,1576,64
Darko Madjarovski,1576,54
Jan Stancik,1576,59
Ivan Bjelica,1575,67
Ludovic Walter,1575,109
Hugo Armando,1575,30
Rodrigo Antonio Grilli,1574,92
Travis Helgeson,1574,32
Juan Pablo Guzman,1574,13
Nicolas Reissig,1573,73
Gerard Granollers,1572,121
Luis Manuel Flores,1572,54
Franz Stauder,1572,5
Ismar Gorcic,1572,68
Colin Obrien,1571,88
Matteo Trevisan,1571,40
Armin Sandbichler,1571,71
Marcel Zimmermann,1571,68
Konstantinos Economidis,1571,41
Roman Jebavy,1570,118
Emilio Gomez,1570,26
Roman Borvanov,1570,60
Scott Lipsky,1569,18
Ranjeet Virali Murugesan,1569,89
Marius Zay,1569,97
Frantisek Cermak,1569,24
Arthur De Greef,1568,15
Scott Oudsema,1568,41
Roman Valent,1568,18
Sung Kyun Kang,1567,27
Gonzalo Tur,1567,117
Yong Bum Seo,1566,6
Oscar Burrieza,1566,22
Mark Nielsen,1566,7
Nicolas Santos,1566,98
Rainer Eitzinger,1565,86
Christian Lindell,1565,18
