Name,elo_overall,match_number,elo_hard,match_number_hard,elo_clay,match_number_clay,elo_grass,match_number_grass,previous_match
Dusan Lajovic,1828.1908057957824,804,1891.7175840712591,294,1990.3051962486159,409,1619.065788950541,37,2022-Salzburg CH-Thiago Monteiro-Dusan Lajovic
Jordan Thompson,1828.128662661353,634,1895.8470754824111,403,1834.4170581366704,143,1787.4672377120908,88,2022-Newport-Jason Kubler-Jordan Thompson
Denis Kudla,1828.0793974638984,770,1876.7899118478897,500,1766.4321409389431,125,1830.3396179810675,129,2022-Wimbledon-Lorenzo Sonego-Denis Kudla
Jo Wilfried Tsonga,1827.4216074797562,702,1977.0693760905583,380,1915.9917948514096,132,1939.4747386383603,66,2022-Roland Garros-Casper Ruud-Jo Wilfried Tsonga
Tomas Martin Etcheverry,1827.106741022237,380,1679.313647767141,37,1917.0411096014498,337,1513.556196261675,6,2022-Bastad-Albert Ramos-Tomas Martin Etcheverry
Juan Carlos Ferrero,1827.0485509719626,190,1890.432214447691,29,1948.6320551164304,63,1817.5218792383616,3,2012-Valencia-Nicolas Almagro-Juan Carlos Ferrero
John Millman,1825.0870194467757,743,1937.464450727435,450,1869.8140416913411,114,1716.1799178464619,79,2022-Wimbledon-Miomir Kecmanovic-John Millman
Liam Broady,1824.4185825360871,738,1894.737684458182,528,1802.427386798005,128,1709.9567611844366,77,2022-Newport-James Duckworth-Liam Broady
Federico Coria,1823.5382057030515,813,1743.4803722644715,43,1959.0880745691443,760,1378.7968899958094,5,2022-Bastad-Andrey Rublev-Federico Coria
Steve Johnson,1821.509077238751,597,1919.3649309397044,411,1869.9374213854758,92,1789.6771861961927,82,2022-Newport-Maxime Cressy-Steve Johnson
Simone Bolelli,1821.4030020751711,598,1851.2592201167176,171,1905.5933691008254,268,1835.6600525576157,44,2019-German Bundesliga TK BW Aachen - HTC BW Krefeld-Thiemo De Bakker-Simone Bolelli
Zsombor Piros,1821.0220495715137,297,1830.2176061713126,110,1872.8887524894023,177,1619.715668259186,10,2022-Amersfoort CH-Tallon Griekspoor-Zsombor Piros
Ugo Humbert,1820.7785857049207,377,1936.1632940067802,240,1811.2255544218879,87,1757.92176652053,50,2022-Newport-Peter Gojowczyk-Ugo Humbert
Pablo Andujar,1820.7497493229755,731,1866.4413666468088,164,1928.7150733027638,407,1690.4612503567082,18,2022-Iasi CH-Felipe Meligeni Alves-Pablo Andujar
Christopher Eubanks,1820.0411340183487,266,1880.7982311108108,232,1690.7022450486688,14,1635.3991657383244,20,2022-Newport-Benjamin Bonzi-Christopher Eubanks
Alexei Popyrin,1819.2765838394628,387,1903.4559623761002,233,1911.1430002601767,126,1662.6232879942047,28,2022-Newport-Quentin Halys-Alexei Popyrin
Ryan Peniston,1819.237675041896,273,1806.1726318343342,196,1783.8901104294475,35,1638.4977493412866,42,2022-Wimbledon-Steve Johnson-Ryan Peniston
Juan Manuel Cerundolo,1818.0449310448985,232,1672.3034628582834,29,1913.0105826544536,201,1373.4422081304604,2,2022-Forli 6 CH-Lorenzo Musetti-Juan Manuel Cerundolo
Hamad Medjedovic,1816.3725467665458,95,1566.464141919639,29,1915.7777499466188,65,1409.2162176257843,1,2022-Verona CH-Jerome Kym-Hamad Medjedovic
Bu Yunchaokete,1816.2500673701527,80,1867.634344323956,73,1353.0711616816095,5,1367.8414015508881,2,2022-M15 Chiang Rai-Bu Yunchaokete-Jie Cui
Hugo Gaston,1815.6372761251807,286,1870.7022409988729,125,1898.0142910777208,149,1586.1368721662955,12,2022-Bastad-Aslan Karatsev-Hugo Gaston
Marco Trungelliti,1815.5061499365713,692,1829.527117944239,136,1883.9642768187414,451,1672.6872514527338,16,2022-Roland Garros-Andrey Kuznetsov-Marco Trungelliti
Guido Pella,1815.3183465542054,702,1940.396006704515,161,1958.1310122202763,415,1820.4064395621608,27,2021-Moscow-Pedro Martinez Portero-Guido Pella
Daniel Altmaier,1814.6826413141864,455,1872.143542373645,193,1914.5503333714948,218,1627.7377301580307,44,2022-Bastad-Elias Ymer-Daniel Altmaier
Maximilian Marterer,1814.6655718136992,538,1858.129073321064,217,1869.0295680271993,260,1704.5515639250893,61,2022-Braunschweig CH-Jan Lennard Struff-Maximilian Marterer
Camilo Ugo Carabelli,1813.6876188895883,332,1696.7738589197354,43,1884.9746170201022,288,1427.0296616063558,1,2022-Wimbledon-Alexandre Muller-Camilo Ugo Carabelli
Aleksandar Vukic,1813.197916489425,314,1919.313386424409,211,1756.713436420411,95,1565.7629862449764,8,2022-Roland Garros-Sebastian Ofner-Aleksandar Vukic
Daniel Elahi Galan,1812.6578678051503,491,1810.6000021742507,168,1891.3146845063884,312,1607.9450910439318,11,2022-Bastad-Tomas Martin Etcheverry-Daniel Elahi Galan
Marc Andrea Huesler,1812.330699703464,331,1751.229490695577,174,1917.7932206564108,124,1660.026611228414,33,2022-Bastad-Laslo Djere-Marc Andrea Huesler
Paul Henri Mathieu,1811.2928367605525,480,1832.6921005347986,203,1909.695302981259,130,1800.6721600565259,31,2017-Orleans CH-Julien Benneteau-Paul Henri Mathieu
